yellow_x,yellow_y,yellow_z,blue_x,blue_y,blue_z
89 yellow X=-19087.863 Y=-14302.223 Z=110.000,,,,,
89 blue X=-18747.338 Y=-14221.335 Z=110.000,,,,,
90 yellow X=-19166.598 Y=-13909.848 Z=110.000,,,,,
90 blue X=-18820.475 Y=-13857.901 Z=110.000,,,,,
91 yellow X=-19184.430 Y=-13511.515 Z=110.000,,,,,
91 blue X=-18836.896 Y=-13552.988 Z=110.000,,,,,
92 yellow X=-18996.143 Y=-13173.868 Z=110.000,,,,,
92 blue X=-18785.080 Y=-13453.067 Z=110.000,,,,,
93 yellow X=-18630.883 Y=-13019.508 Z=110.000,,,,,
93 blue X=-18548.326 Y=-13359.632 Z=110.000,,,,,
94 yellow X=-18236.383 Y=-12947.954 Z=110.000,,,,,
94 blue X=-18182.934 Y=-13293.849 Z=110.000,,,,,
95 yellow X=-17843.070 Y=-12874.174 Z=110.000,,,,,
95 blue X=-17755.998 Y=-13213.170 Z=110.000,,,,,
LogBlueprintUserMessages: [spline_cones_best_200] 95 blue X=-17755.998 Y=-13213.170 Z=110.000,,,,,
